Year,Month,Day,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in),สถานีบ้านมาบป่าแฝก (1687),สถานีบ้านลานตาเกลี้ยง (501261),Rainfall_Avg (mm)
2014,1,1,70.3,59.5,72,0.8,29.6,0,0.0,0.0,0.0
2014,1,2,73.6,62.4,70.7,2.4,29.5,0,0.0,0.0,0.0
2014,1,3,74.4,64.3,73.4,1,29.5,0,0.0,0.0,0.0
2014,1,4,75.3,65.9,74.6,0.8,29.5,0,0.0,0.0,0.0
2014,1,5,75.1,64.8,73,1.3,29.4,0,0.0,0.0,0.0
2014,1,6,75.4,65.1,72.3,1.8,29.4,0,0.0,0.0,0.0
2014,1,7,77.1,62.3,63.6,1.4,29.4,0,0.0,0.0,0.0
2014,1,8,75.8,62.9,68.1,1.8,29.5,0,0.0,0.0,0.0
2014,1,9,76,64.6,70.3,1,29.5,0,0.0,0.0,0.0
2014,1,10,79.7,64.7,62.8,2.5,29.5,0,0.0,0.0,0.0
2014,1,11,75.1,64.1,71.9,1.1,29.6,0,0.0,0.0,0.0
2014,1,12,74.5,62.6,69.6,1,29.6,0,0.0,0.0,0.0
2014,1,13,72.5,60.5,69,1.5,29.6,0,0.0,0.0,0.0
2014,1,14,71.3,58.4,66.9,1.8,29.6,0,0.0,0.0,0.0
2014,1,15,69.3,58.3,71.1,0.5,29.6,0,0.0,0.0,0.0
2014,1,16,69.5,53.9,62.4,1.6,29.6,0,0.0,0.0,0.0
2014,1,17,68,55.3,67,1.4,29.6,0,0.0,0.0,0.0
2014,1,18,67.8,55.3,67.9,1.9,29.7,0,0.0,0.0,0.0
2014,1,19,67,54.3,66.5,1.4,29.7,0,0.0,0.0,0.0
2014,1,20,66.8,53.4,66.6,1.6,29.7,0,0.0,0.0,0.0
2014,1,21,67.6,53.6,64.5,2.1,29.7,0,0.0,0.0,0.0
2014,1,22,64.6,52,66.9,1.4,29.7,0,0.0,0.0,0.0
2014,1,23,63.6,47.9,62.3,2.5,29.6,0,0.0,0.0,0.0
2014,1,24,64.8,48.8,62.6,0.8,29.5,0,0.0,0.0,0.0
2014,1,25,67.6,53,64.5,0.8,29.5,0,0.0,0.0,0.0
2014,1,26,70,54.8,63.8,1,29.5,0,0.0,0.0,0.0
2014,1,27,71.4,58,66.5,1.9,29.5,0,0.0,0.0,0.0
2014,1,28,72.9,58.6,66.1,2,29.5,0,0.0,0.0,0.0
2014,1,29,73.9,59.5,65.8,1.4,29.5,0,0.0,0.0,0.0
2014,1,30,74.3,61,66.3,1,29.5,0,0.0,0.0,0.0
2014,1,31,75.1,58.5,61.6,1.5,29.5,0,0.0,0.0,0.0
2014,2,1,76.3,61,63.3,1.4,29.5,0,0.0,0.0,0.0
2014,2,2,79.4,62.5,60.4,1.5,29.4,0,0.0,0.0,0.0
2014,2,3,83.3,61.4,52,3,29.3,0,0.0,0.0,0.0
2014,2,4,80.5,56.5,49.3,3.9,29.3,0,0.0,0.0,0.0
2014,2,5,78.9,54.9,49.8,2.4,29.3,0,0.0,0.0,0.0
2014,2,6,78.8,54.1,48.5,2.6,29.3,0,0.0,0.0,0.0
2014,2,7,77.9,52.9,45.5,2.1,29.3,0,0.0,0.0,0.0
2014,2,8,79.6,54.5,45.3,4.1,29.3,0,0.0,0.0,0.0
2014,2,9,80.3,53.4,41.5,3,29.3,0,0.0,0.0,0.0
2014,2,10,78,57.6,51.5,1.9,29.3,0,0.0,0.0,0.0
2014,2,11,78.3,61.1,58.8,0.9,29.3,0,0.0,0.0,0.0
2014,2,12,78.8,63.1,61,1.1,29.4,0,0.0,0.0,0.0
2014,2,13,80.1,64,60,1.5,29.4,0,0.0,0.0,0.0
2014,2,14,80.5,63.4,58,2.4,29.4,0,0.0,0.0,0.0
2014,2,15,80.4,64.9,61.3,1.3,29.4,0,0.0,0.0,0.0
2014,2,16,81.6,67,62.6,2.3,29.4,0,0.0,0.0,0.0
2014,2,17,83.1,65.6,57.9,3.5,29.4,0,0.0,0.0,0.0
2014,2,18,83.8,63.9,52.9,7.6,29.4,0,0.0,0.0,0.0
2014,2,19,84.8,61.1,47.4,5.1,29.4,0,0.0,0.0,0.0
2014,2,20,79.8,60.6,52.6,4.5,29.5,0,0.0,0.0,0.0
2014,2,21,78.3,63.4,61.4,2.1,29.6,0,0.0,0.0,0.0
2014,2,22,80.6,66,63.8,1.6,29.5,0,0.0,0.0,0.0
2014,2,23,82.4,63.9,56.4,2.5,29.5,0,0.0,0.0,0.0
2014,2,24,83,63,54,1.9,29.5,0,0.0,0.0,0.0
2014,2,25,85.3,61.8,47.4,2,29.5,0,0.0,0.0,0.0
2014,2,26,84.3,60.6,47.9,1.4,29.4,0,0.0,0.0,0.0
2014,2,27,84.5,59.5,44.6,1.6,29.4,0,0.0,0.0,0.0
2014,2,28,85.4,64.1,50.6,4.4,29.4,0,0.0,0.0,0.0
2014,3,1,86.6,65.4,50.6,3,29.4,0,0.0,0.0,0.0
2014,3,2,88.3,62.4,43.3,2.1,29.4,0,0.0,0.0,0.0
2014,3,3,88.8,61.3,41.4,3.9,29.4,0,0.0,0.0,0.0
2014,3,4,88.3,53.5,31.3,5.3,29.4,0,0.0,0.0,0.0
2014,3,5,85.8,49.9,31.8,5.6,29.4,0,0.0,0.0,0.0
2014,3,6,84.1,48.6,32.3,5.3,29.4,0,0.0,0.0,0.0
2014,3,7,82.5,56,43.6,1.5,29.4,0,0.0,0.0,0.0
2014,3,8,84.9,54.5,38.3,3.1,29.4,0,0.0,0.0,0.0
2014,3,9,85.6,53.8,35.8,3.8,29.4,0,0.0,0.0,0.0
2014,3,10,85.3,60.4,44.3,0.6,29.4,0,0.0,0.0,0.0
2014,3,11,86.4,62.1,46.4,1.4,29.4,0,0.0,0.0,0.0
2014,3,12,88,62.6,43.9,3.5,29.4,0,0.0,0.0,0.0
2014,3,13,89.3,60.5,39.9,3.9,29.4,0,0.0,0.0,0.0
2014,3,14,87.9,64.6,48,0.9,29.4,0,0.0,0.0,0.0
2014,3,15,87.3,67.5,52.8,1.4,29.4,0,0.0,0.0,0.0
2014,3,16,87.9,67.9,53,0.9,29.5,0,0.0,0.0,0.0
2014,3,17,87.3,67.5,53.8,2.9,29.5,0,0.0,0.0,0.0
2014,3,18,88.8,66.5,50.8,2.9,29.4,0,0.0,0.0,0.0
2014,3,19,92.4,60.9,36.5,7.6,29.4,0,0.0,0.0,0.0
2014,3,20,92,55.3,30.8,5.4,29.4,0,0.0,0.0,0.0
2014,3,21,88.5,62.8,44.1,3,29.3,0,0.0,0.0,0.0
2014,3,22,80.8,69.8,69.8,3,29.4,0.02,0.0,0.0,0.0
2014,3,23,80.4,70.5,73,2.1,29.5,0.02,0.0,0.0,0.0
2014,3,24,84.8,68.3,61.1,1.3,29.4,0,0.0,0.0,0.0
2014,3,25,84.8,67.9,58.3,2.5,29.4,0,0.0,0.0,0.0
2014,3,26,87.4,62.9,50.8,2.5,29.4,0,0.0,0.0,0.0
2014,3,27,90.1,60,37.6,1.9,29.3,0,0.0,0.0,0.0
2014,3,28,91.9,57.8,33.8,5.6,29.3,0,0.0,0.0,0.0
2014,3,29,92.3,61.3,37,2.6,29.3,0,0.0,0.0,0.0
2014,3,30,90.9,65.6,44,1.4,29.3,0,0.0,0.0,0.0
2014,3,31,92.8,55.5,29.4,6,29.3,0,0.0,0.0,0.0
2014,4,1,93.3,56.9,31.5,6.1,29.3,0,0.0,0.0,0.0
2014,4,2,92.3,68,47,3.5,29.3,0,0.0,0.0,0.0
2014,4,3,89.8,70.9,55.5,5.6,29.3,0,0.0,0.0,0.0
2014,4,4,82.9,70,67.9,1.4,29.4,0.1,0.0,0.0,0.0
2014,4,5,80.9,69.8,71.5,1.5,29.4,0.06,0.0,0.0,0.0
2014,4,6,85.3,69.3,62.6,3.5,29.4,0,0.0,0.0,0.0
2014,4,7,89.3,62.1,41,7.9,29.4,0,0.0,0.0,0.0
2014,4,8,89.6,66.6,48.1,6.9,29.4,0,0.0,0.0,0.0
2014,4,9,90.6,68.8,49.9,7.3,29.4,0,0.0,0.0,0.0
2014,4,10,89.6,69.1,51.4,4.9,29.4,0,0.0,0.0,0.0
