Date,Column,OldValue,NewValue
4/17/2026,Pressure,NaN,995.28
9/27/2014,Max Wind,NaN,12.0
9/3/2014,Max Wind,NaN,5.0
11/2/2014,Max Wind,NaN,8.0
7/26/2015,Max Wind,NaN,12.0
9/17/2015,Max Wind,NaN,11.0
10/25/2015,Max Wind,NaN,6.666666666666667
10/26/2015,Max Wind,NaN,6.333333333333333
10/29/2015,Max Wind,NaN,7.5
10/31/2015,Max Wind,NaN,9.0
11/23/2015,Max Wind,NaN,7.5
12/4/2015,Max Wind,NaN,6.5
2/11/2016,Max Wind,NaN,11.0
3/3/2016,Max Wind,NaN,9.0
3/6/2016,Max Wind,NaN,11.0
7/11/2016,Max Wind,NaN,13.0
8/28/2016,Max Wind,NaN,6.5
9/20/2016,Max Wind,NaN,12.0
9/21/2016,Max Wind,NaN,9.0
9/30/2016,Max Wind,NaN,16.0
10/6/2016,Max Wind,NaN,5.0
